name,name1,weight
강동원,도종환,1-10 / 149건
강동원,문병호,1-10 / 105건
강동원,문재인,"1-10 / 1,481건"
강동원,문희상,1-10 / 165건
강동원,민병두,1-10 / 115건
강동원,민홍철,1-10 / 145건
강동원,박광온,1-10 / 82건
강동원,박기춘,1-10 / 149건
강동원,박남춘,1-10 / 116건
강동원,박민수,1-10 / 507건
강동원,박범계,1-10 / 107건
강동원,박병석,1-10 / 46건
강동원,박수현,1-10 / 303건
강동원,박완주,1-10 / 97건
강동원,박영선,1-10 / 256건
강동원,박주선,1-10 / 361건
강동원,박지원,1-10 / 372건
강동원,박혜자,1-10 / 83건
강동원,박홍근,1-10 / 176건
강동원,배재정,1-10 / 222건
강동원,백군기,1-10 / 153건
강동원,백재현,1-10 / 124건
강동원,변재일,1-10 / 79건
강동원,부좌현,1-10 / 172건
강동원,서영교,1-10 / 168건
강동원,설훈,1-10 / 66건
강동원,송호창,1-10 / 200건
강동원,신경민,1-10 / 214건
강동원,신계륜,1-10 / 55건
강동원,신기남,1-10 / 89건
강동원,신정훈,1-10 / 139건
강동원,신학용,1-10 / 43건
강동원,심재권,1-10 / 60건
강동원,안규백,1-10 / 101건
강동원,안민석,1-10 / 67건
강동원,안철수,"1-10 / 1,073건"
강동원,양승조,1-10 / 77건
강동원,오영식,1-10 / 57건
강동원,오제세,1-10 / 46건
강동원,우상호,1-10 / 62건
강동원,우원식,1-10 / 171건
강동원,우윤근,1-10 / 152건
강동원,원혜영,1-10 / 112건
강동원,유기홍,1-10 / 56건
강동원,유대운,1-10 / 95건
강동원,유성엽,1-10 / 617건
강동원,유승희,1-10 / 311건
강동원,유은혜,1-10 / 198건
강동원,유인태,1-10 / 54건
강동원,윤관석,1-10 / 250건
강동원,윤호중,1-10 / 59건
강동원,윤후덕,1-10 / 120건
강동원,은수미,1-10 / 182건
강동원,이개호,1-10 / 173건
강동원,이목희,1-10 / 100건
강동원,이미경,1-10 / 171건
강동원,이상민,1-10 / 219건
강동원,이상직,1-10 / 358건
강동원,이석현,1-10 / 107건
강동원,이언주,1-10 / 165건
강동원,이원욱,1-10 / 124건
강동원,이윤석,1-10 / 431건
강동원,이인영,1-10 / 86건
강동원,이종걸,1-10 / 552건
강동원,이찬열,1-10 / 173건
강동원,이춘석,1-10 / 602건
강동원,이학영,1-10 / 143건
강동원,이해찬,1-10 / 102건
강동원,인재근,1-10 / 82건
강동원,임내현,1-10 / 91건
강동원,임수경,1-10 / 145건
강동원,장병완,1-10 / 200건
강동원,장하나,1-10 / 198건
강동원,전병헌,1-10 / 328건
강동원,전순옥,1-10 / 174건
강동원,전정희,1-10 / 313건
강동원,전해철,1-10 / 117건
강동원,정성호,1-10 / 235건
강동원,정세균,1-10 / 176건
강동원,정청래,1-10 / 184건
강동원,정호준,1-10 / 75건
강동원,조경태,1-10 / 117건
강동원,조정식,1-10 / 83건
강동원,주승용,1-10 / 187건
강동원,진선미,1-10 / 148건
강동원,진성준,1-10 / 149건
강동원,최규성,1-10 / 291건
강동원,최동익,1-10 / 116건
강동원,최민희,1-10 / 428건
강동원,최재성,1-10 / 98건
강동원,최재천,1-10 / 197건
강동원,최원식,1-10 / 170건
강동원,추미애,1-10 / 124건
강동원,한명숙,1-10 / 128건
강동원,한정애,1-10 / 169건
강동원,홍영표,1-10 / 69건
강동원,홍의락,1-10 / 103건
강동원,홍익표,1-10 / 88건
강동원,홍종학,1-10 / 159건
강동원,황주홍,1-10 / 296건
강창일,권은희,1-10 / 205건
강창일,김경협,1-10 / 126건
강창일,김관영,1-10 / 301건
강창일,김광진,1-10 / 192건
강창일,김기식,1-10 / 115건
강창일,김기준,1-10 / 114건
강창일,김동철,1-10 / 663건
강창일,김민기,1-10 / 189건
강창일,김상희,1-10 / 348건
강창일,김성곤,1-10 / 402건
강창일,김성주,1-10 / 122건
강창일,김승남,1-10 / 160건
강창일,김영록,1-10 / 365건
강창일,김영주,1-10 / 382건
강창일,김영환,1-10 / 476건
강창일,김용익,1-10 / 93건
강창일,김우남,"1-10 / 1,298건"
강창일,김윤덕,1-10 / 132건
강창일,김재윤,"1-10 / 1,110건"
강창일,김춘진,1-10 / 187건
강창일,김태년,1-10 / 200건
강창일,김한길,1-10 / 531건
강창일,김현,1-10 / 128건
강창일,김현미,1-10 / 250건
강창일,남인순,1-10 / 102건
강창일,노영민,1-10 / 313건
강창일,노웅래,1-10 / 764건
강창일,도종환,1-10 / 128건
강창일,문병호,1-10 / 579건
강창일,문재인,"1-10 / 1,543건"
강창일,문희상,1-10 / 358건
강창일,민병두,1-10 / 342건
강창일,민홍철,1-10 / 221건
강창일,박광온,1-10 / 34건
강창일,박기춘,1-10 / 217건
강창일,박남춘,1-10 / 212건
강창일,박민수,1-10 / 84건
강창일,박범계,1-10 / 133건
강창일,박병석,1-10 / 213건
강창일,박수현,1-10 / 233건
강창일,박완주,1-10 / 251건
강창일,박영선,1-10 / 593건
강창일,박주선,1-10 / 322건
강창일,박지원,1-10 / 878건
강창일,박혜자,1-10 / 243건
강창일,박홍근,1-10 / 195건
강창일,배재정,1-10 / 113건
강창일,백군기,1-10 / 112건
강창일,백재현,1-10 / 209건
강창일,변재일,1-10 / 177건
강창일,부좌현,1-10 / 262건
강창일,서영교,1-10 / 127건
강창일,설훈,1-10 / 234건
강창일,송호창,1-10 / 267건
강창일,신경민,1-10 / 233건
강창일,신계륜,1-10 / 280건
강창일,신기남,1-10 / 205건
강창일,신정훈,1-10 / 41건
강창일,신학용,1-10 / 595건
강창일,심재권,1-10 / 125건
강창일,안규백,1-10 / 198건
강창일,안민석,1-10 / 326건
강창일,안철수,1-10 / 777건
강창일,양승조,1-10 / 225건
강창일,오영식,1-10 / 541건
강창일,오제세,1-10 / 499건
강창일,우상호,1-10 / 196건
강창일,우원식,1-10 / 172건
강창일,우윤근,1-10 / 395건
강창일,원혜영,1-10 / 345건
강창일,유기홍,1-10 / 269건
강창일,유대운,1-10 / 209건
강창일,유성엽,1-10 / 439건
강창일,유승희,1-10 / 248건
강창일,유은혜,1-10 / 170건
강창일,유인태,1-10 / 336건
강창일,윤관석,1-10 / 209건
강창일,윤호중,1-10 / 129건
강창일,윤후덕,1-10 / 96건
강창일,은수미,1-10 / 92건
강창일,이개호,1-10 / 94건
강창일,이목희,1-10 / 160건
강창일,이미경,1-10 / 210건
강창일,이상민,1-10 / 286건
강창일,이상직,1-10 / 116건
강창일,이석현,1-10 / 255건
강창일,이언주,1-10 / 307건
강창일,이원욱,1-10 / 319건
강창일,이윤석,1-10 / 321건
